periodo,cole_mcpio_ubicacion,cole_depto_ubicacion,punt_matematicas,punt_lectura_critica,punt_global,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_cuartoshogar,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,cole_naturaleza,cole_area_ubicacion,cole_bilingue,estu_genero,desemp_ingles
20224,MANIZALES,CALDAS,64.0,66.0,330.0,Estrato 2,Primaria incompleta,Primaria incompleta,3,Tres,1,1,0,1,64.0,70.0,65.0,Público,URBANO,0,M,A2
20224,MARQUETALIA,CALDAS,55.0,55.0,256.0,Estrato 2,Secundaria (Bachillerato) completa,,2,Uno,0,1,0,0,50.0,43.0,57.0,Público,RURAL,,F,A1
20224,ANSERMA,CALDAS,46.0,46.0,205.0,Estrato 2,Primaria completa,No sabe,3,Tres,0,1,0,1,38.0,34.0,40.0,Público,URBANO,0,F,A-
20224,MANIZALES,CALDAS,60.0,64.0,297.0,Estrato 3,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,3,Tres,1,1,0,1,57.0,57.0,57.0,Privado,URBANO,0,M,A1
20224,RIOSUCIO,CALDAS,43.0,37.0,210.0,Estrato 2,Primaria incompleta,Primaria incompleta,3,Tres,0,0,0,0,50.0,41.0,34.0,Público,RURAL,0,F,A-
20224,MANIZALES,CALDAS,46.0,48.0,228.0,Estrato 3,Primaria incompleta,Primaria incompleta,3,Dos,0,0,1,1,44.0,40.0,59.0,Público,URBANO,0,F,A2
20224,FILADELFIA,CALDAS,64.0,56.0,293.0,Estrato 1,Primaria incompleta,Primaria incompleta,5,Tres,0,0,0,1,55.0,61.0,54.0,Público,URBANO,0,F,A1
20224,AGUADAS,CALDAS,54.0,60.0,269.0,Estrato 1,Ninguno,Ninguno,2,Uno,0,0,0,0,56.0,47.0,49.0,Público,RURAL,0,F,A1
20224,MANZANARES,CALDAS,48.0,47.0,246.0,Estrato 2,Secundaria (Bachillerato) completa,Primaria completa,5,Tres,1,1,0,1,53.0,50.0,45.0,Público,RURAL,0,M,A-
20224,SUPÍA,CALDAS,28.0,31.0,161.0,Estrato 2,Primaria completa,No sabe,2,Dos,0,0,0,0,35.0,31.0,44.0,Público,RURAL,0,F,A-
20224,MANIZALES,CALDAS,62.0,62.0,303.0,Estrato 2,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,3,Dos,1,1,0,1,59.0,65.0,43.0,Privado,URBANO,0,M,A-
20224,LA DORADA,CALDAS,38.0,36.0,196.0,Estrato 2,Primaria incompleta,Primaria incompleta,3,Dos,0,1,0,1,41.0,45.0,30.0,Público,URBANO,0,F,A-
20224,SUPÍA,CALDAS,45.0,50.0,219.0,Estrato 1,Primaria incompleta,Primaria incompleta,3,Seis o mas,1,1,0,1,39.0,42.0,42.0,Público,RURAL,,F,A-
20224,RIOSUCIO,CALDAS,38.0,44.0,203.0,Estrato 2,Primaria incompleta,No sabe,3,Cuatro,0,0,0,1,40.0,43.0,33.0,Público,RURAL,0,M,A-
20224,AGUADAS,CALDAS,38.0,47.0,213.0,Estrato 2,Secundaria (Bachillerato) incompleta,Ninguno,3,Tres,0,0,0,1,44.0,42.0,42.0,Público,RURAL,,M,A-
20224,MANIZALES,CALDAS,34.0,55.0,210.0,Estrato 2,Secundaria (Bachillerato) completa,Educación profesional completa,3,Tres,1,1,0,1,34.0,44.0,46.0,Privado,URBANO,0,F,A-
20224,MANIZALES,CALDAS,45.0,45.0,219.0,Estrato 2,No sabe,Secundaria (Bachillerato) incompleta,5,Tres,1,1,0,1,45.0,40.0,45.0,Público,URBANO,0,M,A-
20224,MANIZALES,CALDAS,48.0,66.0,292.0,Estrato 3,Secundaria (Bachillerato) incompleta,Ninguno,2,Dos,1,1,0,1,53.0,68.0,53.0,Privado,URBANO,0,M,A1
20224,MANIZALES,CALDAS,60.0,64.0,291.0,Estrato 3,No sabe,No sabe,3,Tres,1,1,1,1,50.0,52.0,78.0,Privado,URBANO,,F,B1
20224,MANIZALES,CALDAS,62.0,56.0,268.0,Estrato 3,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,9,Seis o mas,1,1,0,1,49.0,49.0,49.0,Privado,URBANO,0,M,A1
20224,CHINCHINÁ,CALDAS,52.0,46.0,228.0,Estrato 2,Secundaria (Bachillerato) completa,No sabe,2,Dos,1,1,1,1,43.0,40.0,50.0,Privado,URBANO,,F,A1
20224,VILLAMARÍA,CALDAS,34.0,44.0,192.0,Estrato 2,Primaria incompleta,Primaria incompleta,3,Dos,1,0,0,1,37.0,37.0,42.0,Público,RURAL,0,F,A-
