"periodo","cole_mcpio_ubicacion","cole_depto_ubicacion","punt_matematicas","punt_lectura_critica","punt_global","fami_estratovivienda","fami_educacionmadre","fami_educacionpadre","fami_personashogar","fami_cuartoshogar","fami_tienecomputador","fami_tieneinternet","fami_tieneautomovil","fami_tienelavadora","punt_c_naturales","punt_sociales_ciudadanas","punt_ingles","cole_naturaleza","cole_area_ubicacion","cole_bilingue","estu_genero","desemp_ingles"
"20224","MANIZALES","CALDAS","43.0","48","203","","Primaria incompleta","No Aplica","","Uno","No","Si","No","Si","37","38","31.0","OFICIAL","URBANO","","M","A-"
"20224","MANIZALES","CALDAS","64.0","66","330","Estrato 2","Primaria incompleta","Primaria incompleta","3 a 4","Tres","Si","Si","No","Si","64","70","65.0","OFICIAL","URBANO","N","M","A2"
"20224","MARQUETALIA","CALDAS","55.0","55","256","Estrato 2","Secundaria (Bachillerato) completa","","1 a 2","Uno","No","Si","No","No","50","43","57.0","OFICIAL","RURAL","","F","A1"
"20224","ANSERMA","CALDAS","46.0","46","205","Estrato 2","Primaria completa","No sabe","3 a 4","Tres","No","Si","No","Si","38","34","40.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","60.0","64","297","Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","3 a 4","Tres","Si","Si","No","Si","57","57","57.0","NO OFICIAL","URBANO","N","M","A1"
"20224","MANIZALES","CALDAS","29.0","35","168","","","","","","","","","","33","37","34.0","OFICIAL","RURAL","N","M","A-"
"20224","RIOSUCIO","CALDAS","43.0","37","210","Estrato 2","Primaria incompleta","Primaria incompleta","3 a 4","Tres","No","No","No","No","50","41","34.0","OFICIAL","RURAL","N","F","A-"
"20224","MANIZALES","CALDAS","46.0","48","228","Estrato 3","Primaria incompleta","Primaria incompleta","3 a 4","Dos","No","No","Si","Si","44","40","59.0","OFICIAL","URBANO","N","F","A2"
"20224","FILADELFIA","CALDAS","64.0","56","293","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Tres","No","No","No","Si","55","61","54.0","OFICIAL","URBANO","N","F","A1"
"20224","AGUADAS","CALDAS","54.0","60","269","Estrato 1","Ninguno","Ninguno","1 a 2","Uno","No","No","No","No","56","47","49.0","OFICIAL","RURAL","N","F","A1"
"20224","MANZANARES","CALDAS","48.0","47","246","Estrato 2","Secundaria (Bachillerato) completa","Primaria completa","5 a 6","Tres","Si","Si","No","Si","53","50","45.0","OFICIAL","RURAL","N","M","A-"
"20224","SUPÍA","CALDAS","28.0","31","161","Estrato 2","Primaria completa","No sabe","1 a 2","Dos","No","No","No","No","35","31","44.0","OFICIAL","RURAL","N","F","A-"
"20224","MANIZALES","CALDAS","62.0","62","303","Estrato 2","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","3 a 4","Dos","Si","Si","No","Si","59","65","43.0","NO OFICIAL","URBANO","N","M","A-"
"20224","LA DORADA","CALDAS","38.0","36","196","Estrato 2","Primaria incompleta","Primaria incompleta","3 a 4","Dos","No","Si","No","Si","41","45","30.0","OFICIAL","URBANO","N","F","A-"
"20224","SUPÍA","CALDAS","45.0","50","219","Estrato 1","Primaria incompleta","Primaria incompleta","3 a 4","Seis o mas","Si","Si","No","Si","39","42","42.0","OFICIAL","RURAL","","F","A-"
"20224","RIOSUCIO","CALDAS","38.0","44","203","Estrato 2","Primaria incompleta","No sabe","3 a 4","Cuatro","No","No","No","Si","40","43","33.0","OFICIAL","RURAL","N","M","A-"
"20224","CHINCHINÁ","CALDAS","40.0","52","230","","","","3 a 4","Dos","No","","No","Si","46","46","47.0","OFICIAL","RURAL","N","F","A-"
"20224","AGUADAS","CALDAS","38.0","47","213","Estrato 2","Secundaria (Bachillerato) incompleta","Ninguno","3 a 4","Tres","No","No","No","Si","44","42","42.0","OFICIAL","RURAL","","M","A-"
"20224","MANIZALES","CALDAS","34.0","55","210","Estrato 2","Secundaria (Bachillerato) completa","Educación profesional completa","3 a 4","Tres","Si","Si","No","Si","34","44","46.0","NO OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","45.0","45","219","Estrato 2","No sabe","Secundaria (Bachillerato) incompleta","5 a 6","Tres","Si","Si","No","Si","45","40","45.0","OFICIAL","URBANO","N","M","A-"
"20224","MANIZALES","CALDAS","65.0","69","328","","","","1 a 2","Dos","Si","","Si","Si","63","61","78.0","NO OFICIAL","URBANO","N","M","B1"
"20224","MANIZALES","CALDAS","48.0","66","292","Estrato 3","Secundaria (Bachillerato) incompleta","Ninguno","1 a 2","Dos","Si","Si","No","Si","53","68","53.0","NO OFICIAL","URBANO","N","M","A1"
"20224","MANIZALES","CALDAS","60.0","64","291","Estrato 3","No sabe","No sabe","3 a 4","Tres","Si","Si","Si","Si","50","52","78.0","NO OFICIAL","URBANO","","F","B1"
"20224","MANIZALES","CALDAS","62.0","56","268","Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","9 o más","Seis o mas","Si","Si","No","Si","49","49","49.0","NO OFICIAL","URBANO","N","M","A1"
"20224","MANIZALES","CALDAS","55.0","59","262","","","","3 a 4","Dos","No","","No","No","50","44","56.0","OFICIAL","URBANO","N","F","A1"
"20224","CHINCHINÁ","CALDAS","52.0","46","228","Estrato 2","Secundaria (Bachillerato) completa","No sabe","1 a 2","Dos","Si","Si","Si","Si","43","40","50.0","NO OFICIAL","URBANO","","F","A1"
"20224","VILLAMARÍA","CALDAS","34.0","44","192","Estrato 2","Primaria incompleta","Primaria incompleta","3 a 4","Dos","Si","No","No","Si","37","37","42.0","OFICIAL","RURAL","N","F","A-"
"20224","AGUADAS","CALDAS","46.0","46","217","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Dos","No","No","No","No","37","44","46.0","OFICIAL","RURAL","N","F","A-"
"20224","RIOSUCIO","CALDAS","35.0","41","188","Estrato 1","Primaria completa","Primaria completa","3 a 4","Dos","No","Si","No","Si","36","39","36.0","OFICIAL","RURAL","N","F","A-"
"20224","LA DORADA","CALDAS","38.0","36","196","Estrato 2","Primaria incompleta","Primaria incompleta","3 a 4","Dos","No","Si","No","Si","41","45","30.0","OFICIAL","URBANO","N","F","A-"
"20224","AGUADAS","CALDAS","57.0","55","290","Estrato 1","Primaria incompleta","Secundaria (Bachillerato) incompleta","3 a 4","Tres","No","Si","No","No","60","61","54.0","OFICIAL","RURAL","","F","A1"
"20224","MANIZALES","CALDAS","52.0","52","231","Estrato 2","Secundaria (Bachillerato) completa","No Aplica","5 a 6","Cuatro","Si","Si","No","No","46","40","31.0","NO OFICIAL","URBANO","N","M","A-"
"20224","AGUADAS","CALDAS","46.0","46","217","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Dos","No","No","No","No","37","44","46.0","OFICIAL","RURAL","N","F","A-"
"20224","MANIZALES","CALDAS","60.0","64","291","Estrato 3","No sabe","No sabe","3 a 4","Tres","Si","Si","Si","Si","50","52","78.0","NO OFICIAL","URBANO","","F","B1"
"20224","RISARALDA","CALDAS","48.0","51","215","Estrato 2","Primaria incompleta","Primaria incompleta","1 a 2","Uno","No","Si","No","Si","31","43","39.0","OFICIAL","URBANO","N","M","A-"
"20224","MANIZALES","CALDAS","52.0","58","271","Estrato 2","Secundaria (Bachillerato) completa","No sabe","3 a 4","Tres","No","Si","No","Si","55","56","42.0","NO OFICIAL","URBANO","","F","A-"
"20224","MANIZALES","CALDAS","66.0","66","297","","","","3 a 4","Dos","Si","","No","Si","52","56","52.0","OFICIAL","URBANO","N","F","A1"
"20224","AGUADAS","CALDAS","58.0","41","233","Estrato 1","Primaria incompleta","Primaria completa","1 a 2","Dos","No","No","No","Si","46","46","34.0","OFICIAL","RURAL","","M","A-"
"20224","SUPÍA","CALDAS","31.0","53","205","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Cuatro","No","Si","No","No","34","43","51.0","OFICIAL","RURAL","N","F","A1"
"20224","PÁCORA","CALDAS","56.0","58","275","Estrato 2","Postgrado","No sabe","3 a 4","Dos","Si","Si","Si","Si","43","63","54.0","OFICIAL","RURAL","N","M","A1"
"20224","MANIZALES","CALDAS","57.0","61","261","","","","5 a 6","Cuatro","Si","","Si","Si","40","52","48.0","OFICIAL","URBANO","N","F","A1"
"20224","MANIZALES","CALDAS","63.0","56","282","Estrato 2","Primaria incompleta","Técnica o tecnológica completa","5 a 6","Dos","Si","Si","No","Si","50","56","57.0","OFICIAL","URBANO","N","M","A1"
"20224","LA DORADA","CALDAS","56.0","69","305","Estrato 4","Técnica o tecnológica completa","No sabe","1 a 2","Dos","Si","Si","No","Si","57","59","69.0","NO OFICIAL","URBANO","N","M","B1"
"20224","CHINCHINÁ","CALDAS","61.0","62","304","Estrato 4","Educación profesional completa","Primaria completa","3 a 4","Tres","Si","Si","Si","Si","62","56","67.0","NO OFICIAL","URBANO","N","M","A2"
"20224","MANIZALES","CALDAS","42.0","52","222","Estrato 2","Primaria completa","Ninguno","","Cinco","No","Si","No","Si","43","43","36.0","OFICIAL","URBANO","N","M","A-"
"20224","VILLAMARÍA","CALDAS","50.0","59","259","Estrato 3","Técnica o tecnológica incompleta","Educación profesional completa","1 a 2","Dos","Si","Si","No","Si","46","54","46.0","NO OFICIAL","RURAL","","M","A-"
"20224","MANIZALES","CALDAS","42.0","40","216","Estrato 2","Primaria completa","Primaria completa","5 a 6","Tres","Si","Si","No","Si","43","50","37.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","51.0","64","290","Estrato 2","","","5 a 6","Tres","Si","Si","No","No","51","62","69.0","OFICIAL","RURAL","N","M","B1"
"20224","LA DORADA","CALDAS","72.0","67","331","","","","3 a 4","Uno","Si","","No","Si","66","59","68.0","OFICIAL","URBANO","N","M","B1"
"20224","CHINCHINÁ","CALDAS","40.0","52","230","","","","3 a 4","Dos","No","","No","Si","46","46","47.0","OFICIAL","RURAL","N","F","A-"
"20224","SAMANÁ","CALDAS","51.0","45","245","Estrato 1","Ninguno","Primaria incompleta","3 a 4","Uno","No","No","Si","Si","50","54","38.0","OFICIAL","RURAL","","F","A-"
"20224","VILLAMARÍA","CALDAS","59.0","50","270","Estrato 2","Secundaria (Bachillerato) completa","Postgrado","3 a 4","Dos","Si","Si","No","Si","53","53","56.0","NO OFICIAL","URBANO","N","M","A1"
"20224","SAMANÁ","CALDAS","46.0","50","240","Estrato 1","Primaria incompleta","Primaria incompleta","5 a 6","Tres","No","No","No","No","49","48","44.0","OFICIAL","RURAL","N","F","A-"
"20224","MANIZALES","CALDAS","68.0","66","317","Estrato 4","Educación profesional completa","Técnica o tecnológica completa","3 a 4","Dos","Si","Si","Si","Si","61","57","68.0","NO OFICIAL","URBANO","N","F","B1"
"20224","RISARALDA","CALDAS","34.0","31","166","","","","1 a 2","Uno","No","","No","Si","32","34","38.0","OFICIAL","URBANO","N","F","A-"
"20224","AGUADAS","CALDAS","50.0","55","257","Estrato 1","Primaria completa","Primaria incompleta","3 a 4","Tres","No","No","No","No","50","49","55.0","OFICIAL","RURAL","","M","A1"
"20224","SUPÍA","CALDAS","30.0","34","161","","","","3 a 4","Uno","Si","","No","No","29","35","34.0","OFICIAL","URBANO","N","F","A-"
"20224","MANIZALES","CALDAS","29.0","53","197","Estrato 1","Primaria completa","Primaria incompleta","5 a 6","Cuatro","Si","Si","No","Si","35","42","36.0","OFICIAL","RURAL","N","F","A-"
"20224","CHINCHINÁ","CALDAS","60.0","60","303","Estrato 3","Educación profesional completa","Secundaria (Bachillerato) completa","1 a 2","Dos","No","Si","No","Si","55","65","68.0","NO OFICIAL","URBANO","","M","B1"
"20224","MANIZALES","CALDAS","46.0","54","237","Estrato 2","Primaria completa","Primaria incompleta","3 a 4","Dos","Si","Si","No","Si","39","52","44.0","OFICIAL","URBANO","N","M","A-"
"20224","RIOSUCIO","CALDAS","57.0","52","273","Estrato 2","Secundaria (Bachillerato) completa","Primaria incompleta","9 o más","Cinco","No","No","No","Si","57","52","57.0","OFICIAL","RURAL","N","M","A1"
"20224","MANIZALES","CALDAS","32.0","40","185","Estrato 6","Primaria completa","Ninguno","3 a 4","Cinco","Si","Si","Si","Si","32","41","47.0","OFICIAL","URBANO","N","M","A-"
"20224","MANIZALES","CALDAS","59.0","62","325","Estrato 5","Postgrado","No sabe","1 a 2","Dos","Si","Si","No","Si","66","70","75.0","NO OFICIAL","URBANO","N","F","B1"
