periodo,cole_mcpio_ubicacion,estrato_num,edu_madre_num,edu_padre_num,indice_activos,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,es_privado,es_urbano,cole_bilingue,genero_num,punt_matematicas,punt_lectura_critica,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global,bajo_rendimiento,desemp_ingles
20224,MANIZALES,2,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,1.0,64.0,66.0,64.0,70.0,65.0,330.0,0,A2
20224,MARQUETALIA,2,4.0,,1.0,0.0,1.0,0.0,0.0,0,0,,0.0,55.0,55.0,50.0,43.0,57.0,256.0,0,A1
20224,ANSERMA,2,2.0,,2.0,0.0,1.0,0.0,1.0,0,1,0.0,0.0,46.0,46.0,38.0,34.0,40.0,205.0,1,A-
20224,MANIZALES,3,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,60.0,64.0,57.0,57.0,57.0,297.0,0,A1
20224,RIOSUCIO,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,43.0,37.0,50.0,41.0,34.0,210.0,1,A-
20224,MANIZALES,3,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,46.0,48.0,44.0,40.0,59.0,228.0,1,A2
20224,FILADELFIA,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0.0,0.0,64.0,56.0,55.0,61.0,54.0,293.0,0,A1
20224,AGUADAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,54.0,60.0,56.0,47.0,49.0,269.0,0,A1
20224,MANZANARES,2,4.0,2.0,3.0,1.0,1.0,0.0,1.0,0,0,0.0,1.0,48.0,47.0,53.0,50.0,45.0,246.0,0,A-
20224,SUPÍA,2,2.0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,28.0,31.0,35.0,31.0,44.0,161.0,1,A-
20224,MANIZALES,2,3.0,4.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,62.0,62.0,59.0,65.0,43.0,303.0,0,A-
20224,LA DORADA,2,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0,1,0.0,0.0,38.0,36.0,41.0,45.0,30.0,196.0,1,A-
20224,SUPÍA,1,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0,0,,0.0,45.0,50.0,39.0,42.0,42.0,219.0,1,A-
20224,RIOSUCIO,2,1.0,,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,38.0,44.0,40.0,43.0,33.0,203.0,1,A-
20224,AGUADAS,2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,,1.0,38.0,47.0,44.0,42.0,42.0,213.0,1,A-
20224,MANIZALES,2,4.0,8.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,0.0,34.0,55.0,34.0,44.0,46.0,210.0,1,A-
20224,MANIZALES,2,,3.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,1.0,45.0,45.0,45.0,40.0,45.0,219.0,1,A-
20224,MANIZALES,3,3.0,0.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,48.0,66.0,53.0,68.0,53.0,292.0,0,A1
20224,MANIZALES,3,,,4.0,1.0,1.0,1.0,1.0,1,1,,0.0,60.0,64.0,50.0,52.0,78.0,291.0,0,B1
20224,MANIZALES,3,4.0,4.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,62.0,56.0,49.0,49.0,49.0,268.0,0,A1
20224,CHINCHINÁ,2,4.0,,4.0,1.0,1.0,1.0,1.0,1,1,,0.0,52.0,46.0,43.0,40.0,50.0,228.0,1,A1
20224,VILLAMARÍA,2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,34.0,44.0,37.0,37.0,42.0,192.0,1,A-
20224,AGUADAS,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,46.0,46.0,37.0,44.0,46.0,217.0,1,A-
20224,RIOSUCIO,1,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,35.0,41.0,36.0,39.0,36.0,188.0,1,A-
20224,LA DORADA,2,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0,1,0.0,0.0,38.0,36.0,41.0,45.0,30.0,196.0,1,A-
20224,AGUADAS,1,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0,0,,0.0,57.0,55.0,60.0,61.0,54.0,290.0,0,A1
20224,MANIZALES,2,4.0,,2.0,1.0,1.0,0.0,0.0,1,1,0.0,1.0,52.0,52.0,46.0,40.0,31.0,231.0,0,A-
20224,AGUADAS,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,46.0,46.0,37.0,44.0,46.0,217.0,1,A-
